Sr. No.,Project Title,Theme of the Project,Category (Research / Consultancy / Both),Domain / Sector,Country of Client,Type of Client,Our Contribution,Methods & Tools Used,Relevance for Research Firms / Startups / Institutions,Link 1 ,Link 2 ,Link 3
1,"Building Stereotype Repositories with LLMs and Community Engagement for Scale and Depth (Projects SPICE and BiNDI) - Google Alphabet LLC, Google Research Labs (2022-23)",Responsible AI and Social Stereotypes in Large Language Models (LLMs),Both (Academic research leading to international publications and methodology/product development consultancy),Artificial Intelligence / Natural Language Processing (NLP),USA,Technology Giant (Google Alphabet LLC),Co-created a copyrighted research methodology to build a social stereotypes repository applicable to any language or geographical context. Successfully captured finer-grained and intersectional identities across a pan-India representative sample of 800 respondents.,"Mixed-methods approach integrating community engagement, survey-based data collection, and Large Language Model (LLM) testing. Employed specific frameworks known as SPICE and BiNDI (Bias
Intervention for Natural Language Processing and Data in the Indian context).","Provides a critical ""augmentation layer"" for German firms needing Responsible AI localization and socio-cultural dataset bias testing for multilingual Indian environments. Offers a proven framework for ground-truthing AI systems in complex real-world settings, which is highly attractive for German institutions under pressure to demonstrate ethical, globally grounded AI work.",https://aclanthology.org/2023.c3nlp-1.9.pdf,https://aclanthology.org/2023.c3nlp-1.9.pdf,https://drive.google.com/file/d/1csjP_4Ec-NBvr396cHZmfCrvMnq2TapP/view?usp=sharing
2,Formalize Hybrid GeoAI Workflow as Constrained Optimization Model (2026) ,Geospatial AI / Mathematical Optimization,Research / Consultancy,Geospatial AI / Data Science,USA,Researcher / Academic,Formalizing a hybrid GeoAI workflow into a rigorous constrained optimization model; bridging geospatial analysis with mathematical formalism and machine learning,"GeoAI, Mathematical Optimization, Constrained Optimization, Machine Learning, Geospatial Analysis","Highly relevant to German spatial data, smart city planning and AI application firms; Fraunhofer, DLR and deep-tech startups in Germany would find this work directly applicable",https://www.linkedin.com/posts/dr-jaya-goyal-8686361b_ai-optimization-socialscience-activity-7459671299334856704-o4kk?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAQv2FABHtmml_GpLrcx2wDzIFM4iIIF2Gg,,
3,Validate an Ethical AI Governance Framework Developed through Design Science Research Methodology (2026),Ethical AI Governance & Design Science Research,Research / Consultancy,Responsible AI / AI Ethics / Governance,UAE,University Researcher,"Validating an AI governance framework; critically reviewing methodology (Design Science Research), assessing ethical dimensions, ensuring theoretical soundness and applicability of the framework","Design Science Research Methodology (DSRM), AI Ethics, Governance Frameworks, Qualitative Research","German AI policy landscape (AI Act, BMWK, digital ethics boards) makes this expertise in AI governance validation immediately marketable to German tech firms, ministries & AI startups",https://www.linkedin.com/posts/dr-jaya-goyal-8686361b_aigovernance-uaetech-dataanalysis-activity-7439199460204789761-7eRK?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAQv2FABHtmml_GpLrcx2wDzIFM4iIIF2Gg,,
4,Statistical Consultant – EV Market Data Analysis (S&P Global Mobility Access) (2025),Electric Vehicle Market Analytics & Statistical Modelling,Consultancy,Automotive / EV / Data Analytics,USA ,Corporate / Market Research Firm,"Statistical consultancy on EV market data; data analysis, modelling and interpretation of S&P Global Mobility Access datasets; producing insights on EV adoption trends","Statistical Analysis, R / Python / STATA, Market Research, EV Data Modelling, S&P Global Mobility","Germany is a global EV & automotive hub (Volkswagen, BMW, Bosch); statistical expertise in EV market data is directly applicable to German automotive firms and mobility consultancies",Under strict NDA,,
5,Research and Provide Scholarly/Peer-Reviewed Sources for Healthcare Related Best Practice (2024),Healthcare Evidence Synthesis & Best Practice Literature Review,Research,Healthcare / Evidence-Based Medicine,Canada,Healthcare Professional / Practitioner of a Large Hospital,Identifying and synthesising high-quality scholarly and peer-reviewed literature relevant to healthcare best practices; building evidence base for clinical or policy application,"Systematic Literature Review, Academic Database Search (PubMed, Scopus, Google Scholar), Evidence Synthesis","Evidence-based healthcare research expertise aligns with German health research institutions (Charite, DGPH) and health-tech startups requiring rigorous literature synthesis",Under strict NDA,,
6,Have Digital Financial Products Helped Women to Have More Independence from Male Domination? (2024),"Gender, Digital Financial Inclusion & Women's Economic Empowerment",Research,Gender Studies / Financial Inclusion / Development Economics,India,HR Training Firm,"Researching the relationship between digital financial product adoption and women's autonomy; literature review, qualitative and quantitative analysis, framing policy implications","Gender Analysis, Financial Inclusion Research, Development Economics, Mixed Methods, IAD Framework","Aligns with German development cooperation priorities (BMZ, GIZ, WHH) on gender equity and digital financial inclusion in the Global South; relevant to Indo-German development projects",Under strict NDA,,
8,Pre Peer Review Evaluation – Formal Framework for Reasoning Stability and Inquiry (AI / Epistemology) (2026),"Responsible AI: Formal Methods, Reasoning Stability & Epistemology",Research Consultancy,Responsible AI / Formal Methods / Philosophy of AI,USA,Independent Researcher / Research Lab,"In-depth pre-peer review of a dense, interdisciplinary AI theory program; clarified formal claims, stability arguments, operator semantics and empirical design; provided structured academic feedback and recommendations","Formal Methods Review, PDE Stability Logic, Research Design Critique, Academic Writing, AI Theory","Demonstrates capacity to evaluate cutting-edge, high-risk AI research across math, philosophy and empirical design; highly relevant to German AI research institutes, startups and foundations (DFKI, Helmholtz AI, AI.Hamburg)",https://drive.google.com/file/d/1csjP_4Ec-NBvr396cHZmfCrvMnq2TapP/view?usp=sharing,,
9,Social Network Analysis of Persons Associated with County Government (2025),Social Network Analysis (SNA) & Governance / Political Structures,Research,Political Science / Governance / Network Analysis & AI App,USA,Researcher / Academic / Government Analyst,"Conducted Social Network Analysis (SNA) to map and analyse relational structures among individuals associated with county government; identifying clusters, key nodes, influence patterns and governance implications","Social Network Analysis (SNA), Network Mapping, NodeXL / Gephi / Python (NetworkX), Political Science","SNA expertise relevant to German governance research, public policy think tanks and digital democracy initiatives; applicable to transparency and accountability projects in German municipalities",https://www.linkedin.com/posts/dr-jaya-goyal-8686361b_sciencediplomacy-socialnetworkanalysis-datascience-activity-7449408266532528128-ujB_?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAQv2FABHtmml_GpLrcx2wDzIFM4iIIF2Gg,,
10,Strategic International Relations Research (2025),"International Relations, Strategic Policy & Global Affairs",Research / Consultancy,International Relations / Policy / Healthcare-Adjacent,Saudi Arabia,NGO / Healthcare Organisation / Policy Body,"Conducted strategic international relations research; analysing global policy landscapes, cross-border institutional dynamics and strategic recommendations relevant to the client's mission","Policy Analysis, International Relations Theory, Qualitative Research, Strategic Frameworks","International relations and policy expertise relevant to German think tanks, foundations and NGOs engaged in global health, development and multilateral policy work",Under strict NDA,,
11,CryoCorp O2 LLP – Industrial Oxygen Plant Business Development & Market Strategy (2025),"Cryogenic Technology, Industrial Gas & Global Market Entry",Consultancy / Entrepreneurship,Cryogenic Technology / Industrial Gas / Green Energy,India (with East Africa market exploration),Private Sector / Co-Founder / LLP,"Co-founder role; responsible for market research, business development, procurement strategy (GEM portal), investor outreach, go-to-market strategy for industrial oxygen plants across India and East Africa","Business Development, Cryogenic Technology, Market Research, GEM Portal Procurement, Financial Modelling, B2B Strategy","Cryogenic industrial gas technology is a strategic German export sector (Linde plc, Messer Group); expertise in plant-level business development and East Africa market entry is highly relevant to German industrial gas firms and green hydrogen investors",www.cryocorp.in,,
13,"MOOCs, AI & Education (2026)","AI in Education, MOOCs & Learning Analytics",Research,AI / Education / Learning Analytics / University,Oman,Technology Giant / Academic Collaboration,"Collaborated with University researchers on academic publication examining AI applications in education, MOOCs and learning analytics; co-authoring, data analysis and manuscript writing","Learning Analytics, AI in Education, Academic Writing, Co-authorship, MOOC Research","AI-education research background directly signals credibility and global standard research capability; highly valued by German AI and EdTech firms, universities and BMBF-funded research projects",Under strict NDA,,
14,Public Health Research Protocol Review & Refinement (2024),Public Health Research Methods & Protocol Design,Research,Public Health / Healthcare,South Africa,University Researcher,"Comprehensive review & refinement of research protocol; strengthening study design (retrospective cross-sectional), STATA-based analysis plan, literature review, variables, and producing 2-page academic executive summary","Secondary Data Collection, Systematic Literature Review, STATA, Research Protocol Design","Demonstrates expertise in global public health research methodology & STATA analysis - directly relevant to German public health institutes, universities & research-driven NGOs",Under strict NDA,,
